Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Cueto Johnny, SI, CH,37.4,37.33133
Cueto Johnny, SI, SL,23.8,24.120497
Cueto Johnny, SI, FC,21.1,21.285412
Cueto Johnny, SI, FF,34.8,33.81545
Danish Tyler, CU, SI,30.8,30.6966
Danish Tyler, CU, CH,33.3,33.249
Darvish Yu, FC, FF,25.5,25.502249
Darvish Yu, FC, SL,36.8,36.852943
Darvish Yu, FC, SI,30.0,29.941813
Darvish Yu, FC, FS,40.9,40.75687
Darvish Yu, FC, CU,15.6,15.39304
Davidson Tucker, FF, SL,31.5,31.689838
Davidson Tucker, FF, CU,28.6,27.536772
Davies Zach, SI, CH,40.0,40.015236
Davies Zach, SI, FC,23.8,24.624556
Davies Zach, SI, CU,24.6,24.895237
Davis Austin, FF, SL,26.3,26.410278
Davis Austin, FF, CH,40.2,39.994766
De Jesus Angel, SI, SL,20.0,20.207392
De Jong Chase, FF, SL,37.5,37.312202
De Jong Chase, FF, CU,16.1,16.121227
De Los Santos Enyel, FF, SL,43.3,42.497902
De Los Santos Enyel, FF, CH,27.9,28.401464
De Los Santos Yerry, SI, SL,35.7,35.578484
DeSclafani Anthony, SL, SI,28.9,28.630781
Detmers Reid, FF, SL,29.1,29.176739
Detmers Reid, FF, CU,16.9,17.017817
Detmers Reid, FF, CH,35.3,34.808277
Detwiler Ross, FC, FF,29.8,29.845613
Detwiler Ross, FC, SI,30.6,30.342575
Diaz Jhonathan, FF, SL,36.6,36.505676
Diaz Jhonathan, FF, SI,23.3,23.380955
Diehl Phillip, FF, SL,33.3,33.60215
Diekman Jake, FF, SL,28.7,28.912365
Diekman Jake, FF, SI,19.4,19.655725
Domínguez Seranthony, FF, SI,32.5,32.671165
Domínguez Seranthony, FF, SL,33.0,32.46472
Doval Camilo, SL, FC,18.9,18.983301
Doval Camilo, SL, SI,18.2,18.49276
Duffey Tyler, KC, FF,23.9,23.783207
Duffey Tyler, KC, SI,32.3,31.395815
Dugger Robert, FF, SI,28.6,28.765848
Dugger Robert, FF, SL,32.3,31.231766
Dugger Robert, FF, CH,27.0,27.008429
Dugger Robert, FF, CU,30.8,30.742601
Dunning Dane, SI, SL,30.6,30.62863
Dunning Dane, SI, CH,44.4,43.988003
Dunning Dane, SI, FC,16.4,16.817686
Duran Jhoan, FF, CU,42.1,42.1392
Duran Jhoan, FF, FS,46.3,46.277657
Díaz Alexis, FF, SL,37.1,37.44233
Díaz Edwin, SL, FF,23.2,23.229136
Edwards Jr. Carl, FF, CU,26.3,26.596087
Edwards Jr. Carl, FF, CH,26.5,26.350021
Effross Scott, SL, SI,37.6,37.39053
Effross Scott, SL, CH,52.6,52.36552
Effross Scott, SL, FF,24.4,24.660767
Eflin Zach, SI, CU,36.2,36.09989
Eflin Zach, SI, FF,27.3,26.960356
Eflin Zach, SI, FC,20.0,19.929974
Eflin Zach, SI, CH,32.5,32.50469
Elder Bryce, SI, SL,39.1,38.853764
Elder Bryce, SI, FC,25.5,25.599745
Elder Bryce, SI, CH,30.8,30.765512
Eovaldi Nathan, FF, FS,48.9,48.80534
Eovaldi Nathan, FF, CU,28.9,28.66464
Eovaldi Nathan, FF, SL,27.3,27.355255
Eovaldi Nathan, FF, FC,23.5,23.487988
Espino Paolo, FF, CU,42.3,42.17692
Espino Paolo, FF, SL,27.6,27.814571
Espino Paolo, FF, CH,20.8,20.719404
Espinoza Anderson, FF, SL,13.6,13.907958
Estévez Carlos, FF, SL,19.0,19.384758
Estévez Carlos, FF, CH,24.6,24.521088
Faedo Alex, FF, SL,33.3,33.404144
Faedo Alex, FF, CH,21.3,21.664501
Falter Bailey, SI, SL,43.0,42.84691
Falter Bailey, SI, FF,34.1,34.177097
Falter Bailey, SI, CU,18.8,18.411343
Familia Jeurys, SI, FF,18.3,18.42328
Familia Jeurys, SI, SL,23.1,23.053112
Familia Jeurys, SI, FS,27.8,27.708849
Farmer Buck, FF, SL,31.8,31.179243
Farmer Buck, FF, CH,21.1,21.945951
Faucher Calvin, SL, SI,22.0,21.845558
Fedde Erick, SI, CU,23.5,23.360872
Fedde Erick, SI, FC,26.4,26.251463
Fedde Erick, SI, CH,21.6,21.349642
Feltner Ryan, FF, SL,27.2,27.647112
Feltner Ryan, FF, SI,31.8,31.74276
Feltner Ryan, FF, CU,24.5,24.482405
Ferguson Caleb, FF, CU,23.4,23.461555
Fernández Junior, SI, SL,25.4,25.05131
Festa Matthew, SL, FF,35.5,35.12646
Feyereisen J.P., FF, SL,24.5,24.822878
Feyereisen J.P., FF, CH,28.8,28.75426
Finnegan Kyle, SI, SL,29.3,29.291838
Finnegan Kyle, SI, FS,32.4,32.79068
Fleming Josh, SI, CH,46.2,45.80271
Fleming Josh, SI, FC,25.9,26.528618
Fleming Josh, SI, CU,32.0,31.862747
Flexen Chris, FF, FC,30.1,30.288353
Flexen Chris, FF, CH,30.5,31.015556
Flexen Chris, FF, SL,31.6,31.618183
Flexen Chris, FF, CU,13.0,13.311996
Floro Dylan, SI, FF,30.2,30.156265
Floro Dylan, SI, CH,33.8,33.64548
Floro Dylan, SI, SL,28.8,28.457283
Foley Jason, SI, SL,28.1,27.835676
Foley Jason, SI, FF,16.7,17.00308
Foley Jason, SI, CH,41.7,41.107872
Foster Matt, FF, SL,29.3,28.93933
Foster Matt, FF, CH,23.1,24.24542
Foster Matt, FF, CU,15.4,15.510666
Freeland Kyle, FF, SL,33.6,33.228737
Freeland Kyle, FF, SI,18.8,18.990028
Freeland Kyle, FF, CU,37.3,37.113213
Freeland Kyle, FF, CH,17.0,18.299065
Fried Max, FF, SL,34.1,33.99528
Fried Max, FF, CU,28.8,28.809057
Fried Max, FF, SI,34.6,34.3082
Fried Max, FF, CH,45.8,45.468216
Fry Paul, SL, FF,16.0,16.154633
Fulmer Michael, SL, SI,20.0,20.59191
Fulmer Michael, SL, FF,15.6,16.248934
Gage Matt, FF, FC,33.3,33.74651
Gallegos Giovanny, FF, SL,42.9,42.535213
Gallen Zac, FF, KC,41.8,41.52754
Gallen Zac, FF, CH,43.5,43.231052
Gallen Zac, FF, FC,34.3,34.05836
Garcia Yimi, FF, CU,18.8,19.395864
Garcia Yimi, FF, SL,15.1,15.899342
Garcia Yimi, FF, SI,37.3,37.405464
García Jarlín, FF, CH,37.7,37.21692
García Jarlín, FF, SL,20.7,21.25738
García Luis (HOU), FF, FC,32.6,32.369904
García Luis (HOU), FF, SL,32.4,32.39714
García Luis (HOU), FF, SI,25.2,25.04918
García Luis (HOU), FF, CH,42.4,41.97079
García Luis (HOU), FF, CU,25.0,24.955385
García Luis (HOU), FF, FS,40.5,40.420734
García Rony, FF, CU,25.0,25.403921
García Rony, FF, SI,35.8,35.472607
García Rony, FF, CH,22.0,21.932816
Garrett Amir, SL, FF,12.0,12.181437
Garrett Braxton, SL, FF,23.7,23.562222
Garrett Braxton, SL, SI,34.7,34.389767
Garrett Braxton, SL, CH,35.4,35.59027
Garrett Braxton, SL, CU,27.9,28.144238
Garza Jr. Ralph, SI, SL,29.0,29.213436
Garza Jr. Ralph, SI, CH,28.3,28.332594
Garza Jr. Ralph, SI, FF,29.6,29.692839
Garza Jr. Ralph, SI, FC,39.4,39.60038
Gausman Kevin, FF, FS,51.3,51.520786
Gausman Kevin, FF, SL,24.4,23.969574
Germán Domingo, CU, CH,27.8,28.060814
Germán Domingo, CU, FF,21.4,21.066034
Gibaut Ian, FF, FC,17.1,18.349033
Gibaut Ian, FF, SL,37.0,36.70521
Gibson Kyle, SI, FC,24.5,25.096546
Gibson Kyle, SI, SL,40.2,39.6357
Gibson Kyle, SI, FF,14.9,15.109266
Gibson Kyle, SI, CH,37.5,37.051712
Gibson Kyle, SI, CU,33.8,33.321907
Gilbert Logan, FF, SL,27.7,27.973667
Gilbert Logan, FF, KC,22.9,23.18665
Gilbert Logan, FF, CH,19.8,20.10708
Gilbert Tyler, FC, FF,19.6,19.46729
Gilbert Tyler, FC, SI,18.9,18.887907
Gilbert Tyler, FC, FS,26.8,26.585226
Gilbert Tyler, FC, KC,31.7,31.128862
Gilbreath Lucas, FF, SL,28.9,28.843918
Gillaspie Logan, FF, SL,15.6,15.273269
Giolito Lucas, FF, CH,29.4,29.584253
Giolito Lucas, FF, SL,28.0,28.012167
Givens Mychal, FF, SL,27.0,27.924274
Givens Mychal, FF, CH,26.5,26.484211
Gomber Austin, FF, SL,30.3,30.269506
Gomber Austin, FF, CH,39.8,39.70666
Gomber Austin, FF, KC,27.2,27.160748
Gonsolin Tony, FF, FS,38.0,38.098125
Gonsolin Tony, FF, SL,38.6,38.09834
Gonsolin Tony, FF, CU,16.8,17.008335
Gonzales Marco, FF, CH,42.0,42.222065
Gonzales Marco, FF, FC,34.2,34.225807
Gonzales Marco, FF, CU,21.4,21.76818
González Chi Chi, SL, FF,26.8,26.80639
González Chi Chi, SL, SI,25.9,25.956514
Gore MacKenzie, FF, CU,28.9,28.788864
Gore MacKenzie, FF, SL,29.5,29.477242
Gore MacKenzie, FF, CH,22.2,22.028582
Gose Anthony, FF, SL,27.9,27.928207
Gott Trevor, FC, FF,24.4,24.451017
Gott Trevor, FC, SI,50.6,50.006603
Gott Trevor, FC, CU,21.4,21.607439
Goudeau Ashton, FF, CU,23.4,23.476227
Goudeau Ashton, FF, CH,29.4,29.334435
Graterol Brusdar, SI, FC,25.4,25.647676
Graterol Brusdar, SI, SL,39.3,39.217857
Graterol Brusdar, SI, FF,24.1,24.211725
Graveman Kendall, SI, SL,28.3,28.413025
Graveman Kendall, SI, CH,30.6,30.819572
Graveman Kendall, SI, FF,30.2,29.508966
Gray Jon, FF, SL,42.7,41.622814
Gray Jon, FF, CH,26.1,26.218006
Gray Jon, FF, CU,12.2,12.450464
Gray Josiah, FF, SL,33.1,33.371887
Gray Josiah, FF, CU,32.5,32.414486
Gray Josiah, FF, CH,15.0,14.927502
Gray Sonny, SI, FF,19.5,19.848515
Gray Sonny, SI, CU,31.1,31.376886
Gray Sonny, SI, SL,30.4,30.21478
Gray Sonny, SI, FC,7.8,8.449812
Green Chad, FF, CU,23.3,24.398605
Greene Hunter, FF, SL,33.6,33.790455
Greene Hunter, FF, CH,4.8,5.0644236
Greinke Zack, FF, CU,39.5,39.1389
Greinke Zack, FF, CH,30.6,31.285082
Greinke Zack, FF, FC,31.1,30.53641
Greinke Zack, FF, SL,36.4,35.885357
Greinke Zack, FF, SI,16.1,16.091896
Grimm Justin, FF, SL,29.6,29.745985
Grimm Justin, FF, CU,46.3,45.335747
Gsellman Robert, SI, SL,28.1,28.232855
Guerra Javy, SI, SL,20.5,20.583927
Gustave Jandel, SI, SL,19.4,19.814203
Gutierrez Vladimir, FF, SL,36.6,35.71137
Gutierrez Vladimir, FF, CH,15.0,16.024506
Gutierrez Vladimir, FF, CU,19.6,19.721655
Hader Josh, SI, SL,38.7,38.566437
Hand Brad, SL, FF,14.6,14.573181
Hand Brad, SL, SI,28.1,28.0197
Head Louis, SL, FF,26.5,26.64999
Heaney Andrew, FF, SL,46.7,46.73795
Hearn Taylor, FF, SL,31.3,31.241257
Hearn Taylor, FF, SI,23.1,23.645706
Hearn Taylor, FF, CH,20.0,20.355661
Heasley Jonathan, FF, CH,29.7,29.706013
Heasley Jonathan, FF, CU,27.5,27.301996
Heasley Jonathan, FF, SL,37.3,37.137974
Helsley Ryan, FF, SL,40.3,40.448555
Helsley Ryan, FF, CU,18.2,18.040249
Hembree Heath, FF, SL,27.4,27.501663
Hendricks Kyle, SI, CH,42.9,43.35458
Hendricks Kyle, SI, FF,12.7,12.85981
