,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Carrasco, Carlos's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,372,100.0%,65.9%,55.4%,12.1%,31.5%,29.6%,43.5%,18.4%,32.3%,34.2%,47.0%,80.9%,0.0%,0.0%
"Kaprielian, James's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,372,100.0%,71.8%,62.6%,9.4%,25.5%,32.0%,34.9%,13.1%,23.4%,33.3%,51.3%,87.1%,0.0%,0.0%
"Gonzales, Marco's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,368,100.0%,67.7%,60.6%,9.5%,28.8%,28.3%,38.3%,14.1%,22.0%,27.5%,46.2%,89.7%,0.0%,0.0%
"Fried, Max's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,367,100.0%,74.9%,68.7%,7.9%,22.3%,31.9%,30.2%,10.5%,18.8%,26.3%,49.0%,83.7%,0.0%,0.0%
"Pérez, Martín's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,365,100.0%,60.8%,55.3%,6.6%,37.8%,20.5%,44.4%,10.8%,20.0%,46.9%,37.8%,104.7%,0.0%,0.0%
"Ohtani, Shohei's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,364,100.0%,62.1%,45.1%,19.2%,35.2%,20.6%,54.4%,31.0%,22.0%,64.3%,54.1%,75.0%,0.0%,0.0%
"Márquez, Germán's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,362,100.0%,71.0%,65.5%,8.0%,23.8%,33.1%,31.8%,11.3%,26.8%,15.8%,48.6%,76.5%,0.0%,0.0%
"Wright, Kyle's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,359,100.0%,60.2%,48.7%,12.0%,37.6%,20.1%,49.6%,19.9%,24.5%,66.3%,48.7%,79.9%,0.0%,0.0%
"Davies, Zach's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,358,100.0%,54.5%,50.3%,5.0%,43.6%,25.4%,48.6%,9.2%,23.7%,31.9%,40.8%,103.1%,0.0%,0.0%
"Quantrill, Cal's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,358,100.0%,62.8%,52.8%,11.7%,33.5%,20.9%,45.3%,18.7%,22.9%,53.8%,52.0%,77.4%,0.0%,0.0%
