,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Bumgarner, Madison's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,323,100.0%,64.4%,56.0%,10.8%,31.6%,26.6%,42.4%,16.8%,33.1%,30.9%,49.8%,90.7%,0.0%,0.0%
"Wainwright, Adam's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,323,100.0%,57.0%,48.3%,9.3%,39.9%,20.4%,49.2%,16.3%,20.4%,44.9%,48.3%,77.4%,0.0%,0.0%
"Gonzales, Marco's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,320,100.0%,79.1%,63.1%,17.2%,19.7%,25.3%,36.9%,21.7%,17.2%,38.0%,43.4%,90.9%,0.0%,0.0%
"Alcantara, Sandy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,319,100.0%,73.0%,60.8%,15.0%,20.1%,32.3%,35.1%,20.6%,19.4%,38.1%,51.7%,81.2%,0.0%,0.0%
"Houser, Adrian's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,319,100.0%,67.7%,61.8%,6.3%,29.5%,27.3%,35.7%,9.3%,21.6%,26.4%,46.4%,95.9%,0.0%,0.0%
"Hudson, Dakota's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,319,100.0%,64.6%,61.1%,3.4%,30.4%,25.4%,33.9%,5.3%,21.0%,14.5%,48.6%,83.1%,0.0%,0.0%
"Akin, Keegan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,316,100.0%,66.8%,52.2%,17.4%,31.3%,28.5%,48.7%,26.1%,19.6%,37.6%,51.9%,68.0%,0.0%,0.0%
"Odorizzi, Jake's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,314,100.0%,73.9%,62.1%,13.1%,23.2%,31.8%,36.3%,17.7%,19.4%,35.1%,51.6%,78.7%,0.0%,0.0%
"Finnegan, Kyle's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,313,100.0%,67.7%,54.6%,14.4%,28.1%,29.1%,42.5%,21.2%,22.4%,40.2%,49.5%,77.0%,0.0%,0.0%
"Morton, Charlie's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,313,100.0%,56.2%,44.7%,12.1%,40.9%,21.7%,53.0%,21.6%,23.0%,85.2%,46.3%,92.0%,0.0%,0.0%
"Kimbrel, Craig's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,311,100.0%,65.0%,53.1%,13.8%,30.2%,30.5%,44.1%,21.3%,21.2%,35.7%,47.9%,80.4%,0.0%,0.0%
"Mikolas, Miles's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,311,100.0%,67.5%,63.3%,6.1%,28.9%,28.6%,35.0%,9.0%,14.8%,33.3%,53.1%,81.0%,0.0%,0.0%
"Kuhl, Chad's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,305,100.0%,76.1%,61.0%,16.7%,20.7%,30.5%,37.4%,22.0%,18.4%,51.7%,48.9%,85.6%,0.0%,0.0%
"Bradish, Kyle's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,304,100.0%,66.1%,56.9%,9.5%,29.9%,28.0%,39.5%,14.4%,18.1%,37.9%,56.6%,71.7%,0.0%,0.0%
"Cortes Jr., Néstor's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,304,100.0%,75.0%,62.2%,13.8%,21.4%,30.9%,35.2%,18.4%,17.1%,43.5%,42.4%,95.4%,0.0%,0.0%
"Hearn, Taylor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,304,100.0%,67.4%,54.9%,12.8%,28.6%,34.5%,41.4%,19.0%,22.0%,44.8%,51.0%,80.9%,0.0%,0.0%
"Burke, Brock's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,296,100.0%,66.9%,54.7%,13.2%,28.7%,28.7%,41.9%,19.7%,19.3%,52.0%,49.0%,79.7%,0.0%,0.0%
"Holmes, Clay's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,296,100.0%,63.5%,52.7%,12.5%,34.1%,23.0%,46.6%,19.7%,22.0%,45.5%,48.3%,85.1%,0.0%,0.0%
"Coleman, Dylan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,294,100.0%,69.0%,56.5%,13.9%,25.2%,32.3%,39.1%,20.2%,18.0%,26.0%,50.7%,77.6%,0.0%,0.0%
"Espino, Paolo's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,293,100.0%,62.8%,58.0%,5.8%,34.1%,23.2%,39.9%,9.2%,21.5%,33.8%,47.1%,86.7%,0.0%,0.0%
"Gibson, Kyle's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,292,100.0%,65.1%,57.2%,8.9%,30.8%,23.6%,39.7%,13.7%,22.6%,39.4%,45.2%,88.0%,0.0%,0.0%
"Peterson, David's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,291,100.0%,62.5%,54.0%,10.7%,33.0%,28.9%,43.6%,17.0%,21.6%,41.1%,50.9%,76.6%,0.0%,0.0%
"Walker, Taijuan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,289,100.0%,60.6%,51.9%,10.7%,36.7%,25.3%,47.4%,17.7%,29.1%,29.7%,47.8%,82.4%,0.0%,0.0%
"Alcantara, Sandy's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,288,100.0%,75.7%,57.6%,19.8%,22.6%,27.8%,42.4%,26.1%,17.7%,63.9%,41.0%,94.8%,0.0%,0.0%
"Pivetta, Nick's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,288,100.0%,56.9%,49.0%,9.0%,36.1%,16.7%,45.1%,15.9%,23.6%,50.0%,46.5%,78.8%,0.0%,0.0%
"Webb, Logan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,288,100.0%,77.4%,68.8%,9.7%,20.1%,30.9%,29.9%,12.6%,13.5%,56.3%,39.9%,104.9%,0.0%,0.0%
"Blackburn, Paul's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,287,100.0%,57.1%,53.0%,4.9%,39.4%,15.7%,44.3%,8.5%,19.2%,30.6%,41.8%,94.8%,0.0%,0.0%
"Archer, Chris's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,285,100.0%,76.1%,63.2%,14.7%,20.7%,28.8%,35.4%,19.4%,10.5%,37.5%,48.8%,82.8%,0.0%,0.0%
"Heasley, Jonathan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,284,100.0%,69.0%,61.6%,8.8%,26.8%,32.0%,35.6%,12.8%,15.1%,32.8%,46.8%,80.3%,0.0%,0.0%
"Stroman, Marcus's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,284,100.0%,61.6%,56.0%,6.7%,34.9%,25.4%,41.5%,10.9%,22.9%,38.7%,50.4%,75.7%,0.0%,0.0%
"Freeland, Kyle's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,283,100.0%,69.6%,61.8%,8.1%,26.5%,26.9%,34.6%,11.7%,22.3%,27.0%,45.9%,85.2%,0.0%,0.0%
"Castillo, Luis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,281,100.0%,71.2%,50.5%,23.1%,22.8%,32.0%,45.9%,32.5%,16.0%,49.5%,53.7%,73.3%,0.0%,0.0%
"Faedo, Alex's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,279,100.0%,66.3%,59.1%,8.6%,30.8%,31.2%,39.4%,13.0%,21.1%,28.2%,46.6%,73.8%,0.0%,0.0%
"Knebel, Corey's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,278,100.0%,69.1%,57.6%,12.9%,26.6%,29.1%,39.6%,18.8%,18.7%,38.0%,48.9%,80.6%,0.0%,0.0%
"Rasmussen, Drew's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,277,100.0%,71.1%,58.5%,13.7%,25.3%,31.4%,39.0%,19.3%,23.8%,30.0%,48.4%,77.6%,0.0%,0.0%
"Verlander, Justin's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,277,100.0%,80.5%,61.4%,21.3%,15.5%,29.2%,36.8%,26.5%,12.6%,53.7%,45.1%,89.9%,0.0%,0.0%
"Jiménez, Joe's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,276,100.0%,71.7%,57.2%,17.8%,25.0%,36.2%,42.8%,24.7%,21.0%,38.9%,51.8%,77.2%,0.0%,0.0%
"Webb, Logan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,276,100.0%,63.4%,54.0%,10.9%,34.4%,21.7%,45.3%,17.1%,22.1%,55.0%,44.9%,98.9%,0.0%,0.0%
"Bautista, Félix's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,275,100.0%,69.8%,56.0%,15.6%,25.5%,32.4%,41.1%,22.4%,24.4%,32.1%,46.2%,80.0%,0.0%,0.0%
"Kershaw, Clayton's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,275,100.0%,59.6%,56.7%,3.3%,37.8%,26.2%,41.1%,5.5%,29.8%,35.4%,50.5%,76.7%,0.0%,0.0%
"Gray, Jon's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,273,100.0%,65.2%,49.1%,16.8%,31.5%,25.6%,48.4%,25.8%,22.3%,67.3%,46.2%,86.1%,0.0%,0.0%
"Rodón, Carlos's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,273,100.0%,66.7%,55.3%,12.5%,28.6%,24.9%,41.0%,18.7%,15.0%,62.9%,47.3%,84.2%,0.0%,0.0%
"Hicks, Jordan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,272,100.0%,64.3%,57.7%,7.4%,30.9%,29.4%,38.2%,11.4%,23.2%,16.1%,49.6%,82.0%,0.0%,0.0%
"Kluber, Corey's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,272,100.0%,73.2%,64.0%,10.7%,25.0%,29.0%,35.7%,14.6%,21.3%,40.8%,46.7%,86.4%,0.0%,0.0%
"Ashby, Aaron's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,271,100.0%,57.2%,49.8%,8.5%,39.9%,25.5%,48.3%,14.8%,25.1%,36.5%,55.7%,74.9%,0.0%,0.0%
"Hill, Rich's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,270,100.0%,63.3%,59.3%,5.2%,34.8%,23.3%,40.0%,8.2%,23.7%,28.1%,50.4%,80.7%,0.0%,0.0%
"Musgrove, Joe's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,270,100.0%,59.6%,49.3%,13.3%,34.8%,20.7%,48.1%,22.4%,22.2%,45.8%,52.6%,72.6%,0.0%,0.0%
"Rasmussen, Drew's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,270,100.0%,66.7%,60.0%,10.0%,28.5%,26.7%,38.5%,15.0%,24.4%,38.1%,54.1%,78.9%,0.0%,0.0%
"Springs, Jeffrey's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,268,100.0%,60.4%,50.7%,11.9%,34.7%,30.2%,46.6%,19.8%,24.6%,39.2%,45.5%,78.4%,0.0%,0.0%
"Baker, Bryan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,266,100.0%,69.2%,53.4%,17.7%,25.6%,26.3%,43.2%,25.5%,19.2%,47.4%,44.7%,86.1%,0.0%,0.0%
"Pilkington, Konnor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,266,100.0%,72.2%,59.0%,15.4%,23.7%,30.5%,39.1%,21.4%,17.3%,39.6%,47.0%,85.7%,0.0%,0.0%
"Alcantara, Sandy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,265,100.0%,65.3%,53.2%,13.2%,29.1%,27.2%,42.3%,20.2%,24.2%,55.7%,47.5%,86.0%,0.0%,0.0%
"Bieber, Shane's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,265,100.0%,75.8%,60.4%,16.2%,22.3%,24.2%,38.5%,21.4%,21.5%,79.7%,53.2%,78.5%,0.0%,0.0%
"Junis, Jakob's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,264,100.0%,59.1%,52.7%,7.2%,37.5%,24.2%,44.7%,12.2%,19.7%,58.0%,51.9%,76.9%,0.0%,0.0%
"Kennedy, Ian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,264,100.0%,74.6%,62.9%,12.9%,23.1%,33.0%,36.0%,17.3%,22.3%,37.9%,43.9%,90.9%,0.0%,0.0%
"Shaw, Bryan's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,264,100.0%,73.1%,62.5%,12.1%,25.0%,29.2%,37.1%,16.6%,23.1%,42.6%,51.5%,85.6%,0.0%,0.0%
"Scott, Tanner's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,263,100.0%,66.5%,51.7%,15.6%,30.8%,28.1%,46.4%,23.4%,18.3%,53.5%,45.2%,85.6%,0.0%,0.0%
"Berríos, José's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,261,100.0%,61.3%,54.8%,6.9%,37.5%,28.4%,44.4%,11.3%,26.8%,71.6%,48.3%,82.4%,0.0%,0.0%
"Berríos, José's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,261,100.0%,62.1%,57.9%,5.0%,34.9%,25.7%,39.8%,8.0%,28.0%,35.1%,46.7%,83.9%,0.0%,0.0%
"Lodolo, Nick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,260,100.0%,58.1%,46.9%,13.1%,33.8%,25.8%,46.9%,22.5%,25.8%,44.3%,50.0%,80.4%,0.0%,0.0%
"Skubal, Tarik's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,260,100.0%,67.7%,58.1%,13.5%,28.8%,30.0%,42.3%,19.9%,26.5%,50.9%,48.5%,78.8%,0.0%,0.0%
"Flexen, Chris's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,258,100.0%,84.9%,74.8%,11.6%,14.3%,31.4%,26.0%,13.7%,10.1%,44.4%,41.1%,100.4%,0.0%,0.0%
"Gray, Josiah's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,258,100.0%,67.8%,47.3%,21.7%,29.8%,20.5%,51.6%,32.0%,15.9%,74.4%,46.1%,88.8%,0.0%,0.0%
"Wainwright, Adam's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,258,100.0%,71.3%,62.8%,9.3%,24.4%,30.2%,33.7%,13.0%,18.2%,33.3%,45.3%,94.6%,0.0%,0.0%
"Fedde, Erick's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,257,100.0%,59.1%,51.0%,8.9%,37.4%,24.5%,46.3%,15.1%,28.8%,30.9%,47.9%,86.4%,0.0%,0.0%
"López, Jorge's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,256,100.0%,69.1%,57.0%,12.5%,27.0%,31.6%,39.5%,18.1%,22.3%,38.8%,57.4%,68.4%,0.0%,0.0%
"Nola, Aaron's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,256,100.0%,63.7%,50.4%,14.1%,35.5%,21.5%,49.6%,22.1%,24.2%,77.5%,45.7%,84.0%,0.0%,0.0%
"Pineda, Michael's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,256,100.0%,65.2%,60.5%,5.5%,33.2%,24.2%,38.7%,8.4%,24.6%,22.9%,56.3%,68.4%,0.0%,0.0%
"Singer, Brady's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,256,100.0%,70.3%,56.3%,16.4%,28.1%,23.4%,44.5%,23.3%,22.3%,67.9%,45.7%,87.5%,0.0%,0.0%
"White, Mitch's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,256,100.0%,70.3%,64.1%,7.8%,27.7%,31.6%,35.5%,11.1%,23.0%,24.5%,48.4%,81.6%,0.0%,0.0%
"Darvish, Yu's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,254,100.0%,67.7%,54.7%,13.8%,26.0%,30.7%,39.8%,20.3%,17.7%,49.4%,53.9%,80.7%,0.0%,0.0%
"Hill, Rich's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,254,100.0%,55.5%,47.6%,9.8%,39.4%,20.5%,49.2%,17.7%,25.2%,49.1%,48.4%,78.3%,0.0%,0.0%
"Manoah, Alek's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,254,100.0%,75.2%,64.2%,12.2%,22.4%,26.8%,34.6%,16.2%,17.3%,49.5%,53.5%,76.4%,0.0%,0.0%
"Wick, Rowan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,254,100.0%,66.5%,58.3%,9.1%,28.0%,31.1%,37.0%,13.6%,22.4%,50.0%,46.1%,76.0%,0.0%,0.0%
"Rogers, Tyler's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,253,100.0%,62.8%,56.5%,5.5%,29.6%,22.9%,35.2%,8.8%,22.9%,13.3%,49.8%,75.1%,0.0%,0.0%
"Irvin, Cole's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,252,100.0%,64.7%,58.7%,8.3%,30.6%,24.6%,38.9%,12.9%,24.6%,16.0%,55.2%,73.0%,0.0%,0.0%
"Nola, Aaron's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,252,100.0%,54.0%,49.6%,5.2%,41.7%,20.6%,46.8%,9.6%,21.4%,47.1%,47.2%,81.3%,0.0%,0.0%
"Colomé, Alex's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,251,100.0%,72.5%,64.5%,8.8%,23.5%,25.9%,32.3%,12.1%,21.5%,57.1%,45.0%,87.6%,0.0%,0.0%
"Estévez, Carlos's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,251,100.0%,78.9%,65.3%,15.5%,19.5%,41.4%,35.1%,19.7%,20.7%,33.3%,50.2%,83.7%,0.0%,0.0%
"Kershaw, Clayton's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,250,100.0%,80.4%,64.0%,16.4%,18.0%,31.6%,34.4%,20.4%,19.6%,69.7%,49.2%,84.8%,0.0%,0.0%
"Montas, Frankie's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,250,100.0%,77.6%,61.2%,19.2%,19.6%,37.6%,38.8%,24.7%,13.2%,41.9%,44.0%,87.2%,0.0%,0.0%
"Wright, Kyle's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,250,100.0%,68.4%,58.8%,9.6%,30.0%,24.4%,39.6%,14.0%,22.0%,32.7%,54.8%,68.8%,0.0%,0.0%
"Márquez, Germán's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,249,100.0%,69.5%,64.3%,5.6%,26.1%,24.1%,31.7%,8.1%,25.7%,10.0%,52.2%,74.3%,0.0%,0.0%
"Tate, Dillon's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,249,100.0%,59.0%,55.4%,4.4%,37.3%,21.3%,41.8%,7.5%,22.9%,30.6%,47.8%,77.9%,0.0%,0.0%
"Thompson, Zach's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,249,100.0%,71.5%,63.9%,8.4%,26.1%,35.3%,34.5%,11.8%,24.1%,39.6%,46.6%,88.4%,0.0%,0.0%
"Anderson, Ian's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,248,100.0%,82.7%,65.7%,18.5%,15.3%,31.5%,33.9%,22.4%,8.1%,57.4%,41.9%,97.6%,0.0%,0.0%
"Bickford, Phil's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,247,100.0%,71.3%,57.1%,15.8%,23.9%,31.6%,39.7%,22.2%,17.8%,26.0%,44.9%,85.0%,0.0%,0.0%
"Skubal, Tarik's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,247,100.0%,64.8%,59.1%,6.9%,30.8%,29.6%,37.7%,10.6%,19.8%,28.1%,47.8%,78.5%,0.0%,0.0%
"Corbin, Patrick's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,246,100.0%,62.2%,55.7%,7.3%,35.8%,27.2%,43.1%,11.8%,28.0%,29.8%,49.6%,83.7%,0.0%,0.0%
"Kluber, Corey's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,246,100.0%,54.1%,50.0%,5.3%,41.1%,17.9%,46.3%,9.8%,26.4%,37.7%,49.6%,83.7%,0.0%,0.0%
"Poche, Colin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,245,100.0%,75.1%,59.2%,19.2%,20.8%,28.6%,40.0%,25.5%,21.6%,42.6%,53.5%,80.0%,0.0%,0.0%
"Keller, Brad's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,244,100.0%,62.7%,58.6%,4.9%,27.0%,23.4%,32.0%,7.8%,19.3%,35.3%,45.5%,84.0%,0.0%,0.0%
"Mikolas, Miles's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,244,100.0%,73.8%,68.0%,7.0%,24.2%,31.6%,31.1%,9.4%,19.7%,35.1%,45.1%,110.2%,0.0%,0.0%
"Archer, Chris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,243,100.0%,58.8%,53.1%,8.2%,36.6%,24.3%,44.9%,14.0%,26.3%,24.5%,44.9%,89.3%,0.0%,0.0%
"Voth, Austin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,243,100.0%,74.9%,61.3%,15.2%,21.8%,30.9%,37.0%,20.3%,18.1%,36.2%,50.2%,79.0%,0.0%,0.0%
"Brubaker, JT's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,242,100.0%,75.2%,61.2%,14.0%,23.1%,30.2%,37.2%,18.7%,19.0%,75.7%,52.1%,87.2%,0.0%,0.0%
"Gilbert, Logan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,242,100.0%,77.3%,66.1%,11.6%,19.4%,29.8%,31.0%,15.0%,11.6%,36.0%,50.0%,82.6%,0.0%,0.0%
"Keller, Mitch's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,242,100.0%,64.5%,58.7%,8.3%,31.4%,24.0%,39.7%,12.8%,16.1%,44.4%,50.8%,76.9%,0.0%,0.0%
"Manoah, Alek's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,242,100.0%,55.0%,50.0%,6.2%,41.7%,26.0%,47.9%,11.3%,25.2%,36.2%,43.8%,93.0%,0.0%,0.0%
"Gonsolin, Tony's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,241,100.0%,78.4%,63.1%,16.2%,19.9%,32.8%,36.1%,20.6%,13.3%,47.7%,47.3%,76.3%,0.0%,0.0%
"Suter, Brent's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,240,100.0%,71.7%,63.3%,10.0%,24.6%,30.4%,34.6%,14.0%,20.8%,24.1%,49.6%,84.6%,0.0%,0.0%
"Contreras, Roansy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,239,100.0%,67.8%,57.3%,11.3%,30.1%,29.7%,41.4%,16.7%,23.4%,33.3%,49.8%,84.1%,0.0%,0.0%
"Jansen, Kenley's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,239,100.0%,67.8%,54.4%,16.3%,28.5%,32.6%,44.8%,24.1%,25.5%,44.4%,47.3%,80.3%,0.0%,0.0%
"López, Pablo's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,239,100.0%,77.8%,59.4%,19.2%,20.9%,27.2%,40.2%,24.7%,18.4%,71.3%,31.4%,118.8%,0.0%,0.0%
"McClanahan, Shane's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,239,100.0%,51.5%,43.5%,9.2%,44.4%,18.0%,53.6%,17.9%,23.4%,66.2%,51.5%,75.7%,0.0%,0.0%
"Stripling, Ross's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,238,100.0%,65.1%,55.0%,10.9%,32.4%,29.4%,43.3%,16.8%,31.5%,40.7%,52.1%,78.6%,0.0%,0.0%
"García, Rony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,237,100.0%,71.7%,62.0%,11.8%,24.9%,33.8%,36.7%,16.5%,22.4%,30.4%,52.3%,78.9%,0.0%,0.0%
"Hernandez, Elieser's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,237,100.0%,65.8%,57.8%,11.8%,29.1%,28.7%,40.9%,17.9%,24.9%,27.0%,51.1%,72.6%,0.0%,0.0%
"Chavez, Jesse's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,236,100.0%,63.1%,48.7%,16.1%,35.2%,28.0%,51.3%,25.5%,23.3%,64.4%,49.6%,90.3%,0.0%,0.0%
"Díaz, Alexis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,236,100.0%,74.2%,56.8%,19.9%,22.0%,33.5%,41.9%,26.9%,21.2%,54.5%,42.4%,93.2%,0.0%,0.0%
"Gilbreath, Lucas's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,236,100.0%,66.1%,50.0%,16.9%,29.7%,23.7%,46.6%,25.6%,24.2%,52.4%,49.2%,88.6%,0.0%,0.0%
"Pérez, Martín's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,236,100.0%,70.8%,61.0%,11.0%,27.1%,26.7%,38.1%,15.6%,11.9%,48.1%,45.3%,95.3%,0.0%,0.0%
"Vest, Will's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,236,100.0%,56.8%,49.2%,7.6%,38.6%,27.5%,46.2%,13.4%,28.0%,35.6%,49.6%,77.5%,0.0%,0.0%
"Corbin, Patrick's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,235,100.0%,69.8%,57.0%,13.2%,26.4%,24.7%,39.6%,18.9%,28.1%,102.2%,43.8%,92.8%,0.0%,0.0%
"Barría, Jaime's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,234,100.0%,70.1%,58.5%,13.2%,26.9%,23.1%,40.2%,18.9%,27.8%,37.0%,55.1%,67.1%,0.0%,0.0%
"Hudson, Dakota's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,234,100.0%,73.5%,65.0%,9.4%,22.2%,26.9%,31.6%,12.8%,13.2%,35.6%,51.7%,81.6%,0.0%,0.0%
